date,Start (ET),away,PTS,home,PTS,,,Attend.,Notes
Wed Feb 17 2021,7:30p,Atlanta Hawks,,Boston Celtics,,,,,
Wed Feb 17 2021,7:30p,Houston Rockets,,Philadelphia 76ers,,,,,
Wed Feb 17 2021,8:00p,Indiana Pacers,,Minnesota Timberwolves,,,,,
Wed Feb 17 2021,8:00p,Portland Trail Blazers,,New Orleans Pelicans,,,,,
Wed Feb 17 2021,8:30p,Detroit Pistons,,Chicago Bulls,,,,,
Wed Feb 17 2021,9:00p,Oklahoma City Thunder,,Memphis Grizzlies,,,,,
Wed Feb 17 2021,10:00p,Miami Heat,,Golden State Warriors,,,,,
Wed Feb 17 2021,10:00p,Utah Jazz,,Los Angeles Clippers,,,,,
Thu Feb 18 2021,7:30p,Toronto Raptors,,Milwaukee Bucks,,,,,
Thu Feb 18 2021,10:00p,Brooklyn Nets,,Los Angeles Lakers,,,,,
Thu Feb 18 2021,10:00p,Miami Heat,,Sacramento Kings,,,,,
Fri Feb 19 2021,7:00p,Golden State Warriors,,Orlando Magic,,,,,
Fri Feb 19 2021,7:00p,Chicago Bulls,,Philadelphia 76ers,,,,,
Fri Feb 19 2021,7:30p,Atlanta Hawks,,Boston Celtics,,,,,
Fri Feb 19 2021,8:00p,Detroit Pistons,,Memphis Grizzlies,,,,,
Fri Feb 19 2021,8:00p,Oklahoma City Thunder,,Milwaukee Bucks,,,,,
Fri Feb 19 2021,8:00p,Toronto Raptors,,Minnesota Timberwolves,,,,,
Fri Feb 19 2021,8:00p,Phoenix Suns,,New Orleans Pelicans,,,,,
Fri Feb 19 2021,10:00p,Utah Jazz,,Los Angeles Clippers,,,,,
Fri Feb 19 2021,10:00p,Denver Nuggets,,Cleveland Cavaliers,,,,,
Sat Feb 20 2021,7:00p,Golden State Warriors,,Charlotte Hornets,,,,,
Sat Feb 20 2021,8:00p,Sacramento Kings,,Chicago Bulls,,,,,
Sat Feb 20 2021,8:00p,Phoenix Suns,,Memphis Grizzlies,,,,,
Sat Feb 20 2021,8:30p,Miami Heat,,Los Angeles Lakers,,,,,
Sat Feb 20 2021,10:00p,Washington Wizards,,Portland Trail Blazers,,,,,
Sun Feb 21 2021,3:30p,Boston Celtics,,New Orleans Pelicans,,,,,
Sun Feb 21 2021,6:00p,Oklahoma City Thunder,,Cleveland Cavaliers,,,,,
Sun Feb 21 2021,6:00p,Detroit Pistons,,Orlando Magic,,,,,
Sun Feb 21 2021,6:00p,Philadelphia 76ers,,Toronto Raptors,,,,,
Sun Feb 21 2021,7:00p,Minnesota Timberwolves,,New York Knicks,,,,,
Sun Feb 21 2021,7:30p,Denver Nuggets,,Atlanta Hawks,,,,,
Sun Feb 21 2021,8:00p,Brooklyn Nets,,Los Angeles Clippers,,,,,
Sun Feb 21 2021,8:00p,Sacramento Kings,,Milwaukee Bucks,,,,,
Mon Feb 22 2021,8:00p,Chicago Bulls,,Houston Rockets,,,,,
Mon Feb 22 2021,8:00p,Miami Heat,,Oklahoma City Thunder,,,,,
Mon Feb 22 2021,8:30p,Memphis Grizzlies,,Dallas Mavericks,,,,,
Mon Feb 22 2021,9:00p,Portland Trail Blazers,,Phoenix Suns,,,,,
Mon Feb 22 2021,9:00p,Charlotte Hornets,,Utah Jazz,,,,,
Mon Feb 22 2021,10:00p,Washington Wizards,,Los Angeles Lakers,,,,,
Tue Feb 23 2021,7:00p,Atlanta Hawks,,Cleveland Cavaliers,,,,,
Tue Feb 23 2021,7:00p,Detroit Pistons,,Orlando Magic,,,,,
Tue Feb 23 2021,7:30p,Sacramento Kings,,Brooklyn Nets,,,,,
Tue Feb 23 2021,7:30p,Boston Celtics,,Dallas Mavericks,,,,,
Tue Feb 23 2021,7:30p,Golden State Warriors,,New York Knicks,,,,,
Tue Feb 23 2021,7:30p,Philadelphia 76ers,,Toronto Raptors,,,,,
Tue Feb 23 2021,8:00p,Minnesota Timberwolves,,Milwaukee Bucks,,,,,
Tue Feb 23 2021,10:00p,Portland Trail Blazers,,Denver Nuggets,,,,,
Tue Feb 23 2021,10:00p,Washington Wizards,,Los Angeles Clippers,,,,,
Wed Feb 24 2021,7:00p,Golden State Warriors,,Indiana Pacers,,,,,
Wed Feb 24 2021,7:30p,Boston Celtics,,Atlanta Hawks,,,,,
Wed Feb 24 2021,7:30p,Houston Rockets,,Cleveland Cavaliers,,,,,
Wed Feb 24 2021,7:30p,Toronto Raptors,,Miami Heat,,,,,
Wed Feb 24 2021,8:00p,Minnesota Timberwolves,,Chicago Bulls,,,,,
Wed Feb 24 2021,8:00p,Detroit Pistons,,New Orleans Pelicans,,,,,
Wed Feb 24 2021,8:00p,San Antonio Spurs,,Oklahoma City Thunder,,,,,
Wed Feb 24 2021,9:00p,Charlotte Hornets,,Phoenix Suns,,,,,
Wed Feb 24 2021,10:00p,Los Angeles Lakers,,Utah Jazz,,,,,
Thu Feb 25 2021,7:00p,Dallas Mavericks,,Philadelphia 76ers,,,,,
Thu Feb 25 2021,7:30p,Orlando Magic,,Brooklyn Nets,,,,,
Thu Feb 25 2021,7:30p,Sacramento Kings,,New York Knicks,,,,,
Thu Feb 25 2021,8:00p,Los Angeles Clippers,,Memphis Grizzlies,,,,,
Thu Feb 25 2021,9:00p,Washington Wizards,,Denver Nuggets,,,,,
Thu Feb 25 2021,9:30p,New Orleans Pelicans,,Milwaukee Bucks,,,,,
Fri Feb 26 2021,7:00p,Sacramento Kings,,Detroit Pistons,,,,,
Fri Feb 26 2021,7:30p,Indiana Pacers,,Boston Celtics,,,,,
Fri Feb 26 2021,7:30p,Houston Rockets,,Toronto Raptors,,,,,
Fri Feb 26 2021,8:00p,Phoenix Suns,,Chicago Bulls,,,,,
Fri Feb 26 2021,8:00p,Los Angeles Clippers,,Memphis Grizzlies,,,,,
Fri Feb 26 2021,8:00p,Utah Jazz,,Miami Heat,,,,,
Fri Feb 26 2021,8:00p,Atlanta Hawks,,Oklahoma City Thunder,,,,,
Fri Feb 26 2021,10:00p,Charlotte Hornets,,Golden State Warriors,,,,,
Fri Feb 26 2021,10:00p,Portland Trail Blazers,,Los Angeles Lakers,,,,,
Sat Feb 27 2021,3:00p,Cleveland Cavaliers,,Philadelphia 76ers,,,,,
Sat Feb 27 2021,6:00p,New Orleans Pelicans,,San Antonio Spurs,,,,,
Sat Feb 27 2021,7:00p,Indiana Pacers,,New York Knicks,,,,,
Sat Feb 27 2021,7:00p,Utah Jazz,,Orlando Magic,,,,,
Sat Feb 27 2021,7:00p,Minnesota Timberwolves,,Washington Wizards,,,,,
Sat Feb 27 2021,8:00p,Denver Nuggets,,Oklahoma City Thunder,,,,,
Sat Feb 27 2021,8:30p,Dallas Mavericks,,Brooklyn Nets,,,,,
Sun Feb 28 2021,3:30p,Los Angeles Clippers,,Milwaukee Bucks,,,,,
Sun Feb 28 2021,6:00p,New York Knicks,,Detroit Pistons,,,,,
Sun Feb 28 2021,6:00p,Atlanta Hawks,,Miami Heat,,,,,
Sun Feb 28 2021,6:00p,Chicago Bulls,,Toronto Raptors,,,,,
Sun Feb 28 2021,7:00p,Washington Wizards,,Boston Celtics,,,,,
Sun Feb 28 2021,7:00p,Memphis Grizzlies,,Houston Rockets,,,,,
Sun Feb 28 2021,8:00p,Golden State Warriors,,Los Angeles Lakers,,,,,
Sun Feb 28 2021,8:00p,Phoenix Suns,,Minnesota Timberwolves,,,,,
Sun Feb 28 2021,9:00p,Charlotte Hornets,,Sacramento Kings,,,,,
