date,home,away,pred
20201227,LAC,DAL,0.16247273981571198
20201227,NOP,SAS,0.2050524801015854
20201227,WAS,ORL,0.5174257755279541
20201227,CHO,BRK,0.4540887176990509
20201227,CLE,PHI,0.3823627829551697
20201227,NYK,MIL,0.5729920268058777
20201227,IND,BOS,0.4527485966682434
20201227,CHI,GSW,0.23506662249565125
20201227,SAC,PHO,0.47281914949417114
20201227,LAL,MIN,0.12722575664520264
20201228,BRK,MEM,0.351612389087677
20201228,ATL,DET,0.4485734701156616
20201228,OKC,UTA,0.5147573351860046
20201228,DEN,HOU,0.41397082805633545
20201228,LAL,POR,0.07737717777490616
20201229,CLE,NYK,0.24330319464206696
20201229,DET,GSW,0.31448912620544434
20201229,IND,BOS,0.4699670374393463
20201229,WAS,CHI,0.43920662999153137
20201229,PHI,TOR,0.4383418560028076
20201229,MIA,MIL,0.4060891568660736
20201229,OKC,ORL,0.41415706276893616
20201229,PHO,NOP,0.30256032943725586
20201229,SAC,DEN,0.3129616975784302
20201229,LAC,MIN,0.20295105874538422
20201230,MIA,MIL,0.5101326704025269
20201230,BRK,ATL,0.36334601044654846
20201230,BOS,MEM,0.3561550974845886
20201230,DAL,CHO,0.4243111312389374
20201230,SAS,LAL,0.627288818359375
20201230,LAC,POR,0.18623197078704834
20201231,IND,CLE,0.45912396907806396
20201231,WAS,CHI,0.4386289715766907
20201231,ORL,PHI,0.3496459722518921
20201231,HOU,SAC,0.4134432375431061
20201231,TOR,NYK,0.31550970673561096
20201231,OKC,NOP,0.44455283880233765
20201231,UTA,PHO,0.4792270064353943
20210101,CHO,MEM,0.46270304918289185
20210101,DAL,MIA,0.5000845193862915
20210101,DET,BOS,0.5645304918289185
20210101,BRK,ATL,0.3345673084259033
20210101,MIL,CHI,0.19413281977176666
20210101,MIN,WAS,0.3790632486343384
20210101,SAS,LAL,0.6584569811820984
20210101,DEN,PHO,0.5217480063438416
20210101,UTA,LAC,0.4499184191226959
20210101,GSW,POR,0.4592123329639435
20210102,HOU,SAC,0.3698669672012329
20210102,IND,NYK,0.2949174642562866
20210102,ORL,OKC,0.32840999960899353
20210102,PHI,CHO,0.29111790657043457
20210102,ATL,CLE,0.4108736515045166
20210102,NOP,TOR,0.32544296979904175
20210103,DET,BOS,0.570460319519043
20210103,BRK,WAS,0.275928258895874
20210103,MEM,LAL,0.5335375070571899
20210103,MIN,DEN,0.5459065437316895
20210103,SAS,UTA,0.48782411217689514
20210103,CHI,DAL,0.3936813771724701
20210103,PHO,LAC,0.297439306974411
20210103,GSW,POR,0.5362484455108643
20210104,ORL,CLE,0.4444620609283447
20210104,PHI,CHO,0.28469234704971313
20210104,ATL,NYK,0.361847460269928
20210104,MIA,OKC,0.32882046699523926
20210104,TOR,BOS,0.36847448348999023
20210104,HOU,DAL,0.28134992718696594
20210104,MIL,DET,0.18090380728244781
20210104,NOP,IND,0.3147646188735962
20210104,GSW,SAC,0.5783140063285828
20210105,BRK,UTA,0.4947074353694916
20210105,MEM,LAL,0.5549876689910889
20210105,DEN,MIN,0.1945122629404068
20210105,LAC,SAS,0.23174062371253967
20210105,POR,CHI,0.42047548294067383
